file,whisper_text,correct_text
atcosim_train0.wav,psa 810 turn right to trasadingen,psa 810 turn right to trasadingen
atcosim_train1.wav,lufthansa 5318 contact zurich 134.6,lufthansa 5318 contact zurich 134.6
atcosim_train2.wav,psa 810 contact zurich 133.4,psa 810 contact zurich 133.4
atcosim_train3.wav,sabena 481 rhein identified,sabena 481 rhein identified
atcosim_train4.wav,transwede 101 rhein identified set course trasadingen,transwede 101 rhein identified set course trasadingen
atcosim_train5.wav,india oscar kilo contact rhein 12737,india oscar kilo contact rhein 12737
atcosim_train6.wav,trans avia 381 zurich radar 134.6,trans avia 381 zurich radar 134.6
atcosim_train7.wav,speed bird 156 rhein identified,speed bird 156 rhein identified
atcosim_train8.wav, swiss air 9352 rhein identified,swiss air 9352 rhein identified
atcosim_train9.wav,sabena 481 turn left to dinkelsbühl,sabena 481 turn left to dinkelsbuhl
atcosim_train10.wav,swiss air 9352 climb flight level 350 set course to gotil,swiss air 9352 climb flight level 350 set course to gotil
atcosim_train11.wav,lufthansa 8268 rhein identified set course trasadingen climb flight level 270,lufthansa 8268 rhein identified set course trasadingen climb flight level 270
atcosim_train12.wav,sabena 838 rhein identified direct to gotil,sabena 838 rhein identified direct to gotil
atcosim_train13.wav,speed bird 156 contact rhein 12737,speed bird 156 contact rhein 12737
atcosim_train14.wav,foxtrot sierra india rhein identified climb flight level 260,foxtrot sierra india rhein identified climb flight level 260
atcosim_train15.wav,transwede 101 proceed direct to hochwald thereafter st prex,transwede 101 proceed direct to hochwald thereafter st prex
atcosim_train16.wav,foxtrot sierra india report heading,foxtrot sierra india report heading
atcosim_train17.wav,roger turn left heading 185,roger turn left heading 185
atcosim_train18.wav,india tango alfa sierra alfa rhein identified,india tango alfa sierra alfa rhein identified
atcosim_train19.wav,sabena 481 contact rhein 132.4,sabena 481 contact rhein 132.4
atcosim_train20.wav,india sierra alfa turn 15 degrees to the left,india sierra alfa turn 15 degrees to the left
atcosim_train21.wav,hapag lloyd 653 rhein identified climb flight level 270,hapag lloyd 653 rhein identified climb flight level 270
atcosim_train22.wav,swiss air 9352 rhein 127.37,swiss air 9352 rhein 127.37
atcosim_train23.wav,lufthansa 8268 climb flight level 290,lufthansa 8268 climb flight level 290
atcosim_train24.wav,foxtrot sierra india climb flight level 270,foxtrot sierra india climb flight level 270
atcosim_train25.wav,hapag lloyd 653 climb flight level 290 set course trasadingen,hapag lloyd 653 climb flight level 290 set course trasadingen
atcosim_train26.wav,malaysian 2 rhein identified,malaysian 2 rhein identified
atcosim_train27.wav,foxtrot sierra india turn left heading 175 climb flight level 370,foxtrot sierra india turn left heading 175 climb flight level 370
atcosim_train28.wav,india sierra alfa turn right to frankfurt,india sierra alfa turn right to frankfurt
atcosim_train29.wav,sabena 838 contact rhein 12737,sabena 838 contact rhein 12737
atcosim_train30.wav,swiss air 6520 rhein do you read,swiss air 6520 rhein do you read
atcosim_train31.wav,lufthansa 8268 contact zurich 134.6,lufthansa 8268 contact zurich 134.6
atcosim_train32.wav,constellation 2251 rhein identified,constellation 2251 rhein identified
atcosim_train33.wav,transwede 101 contact zurich 133.4,transwede 101 contact zurich 133.4
atcosim_train34.wav,foxtrot sierra india set course to trasadingen,foxtrot sierra india set course to trasadingen
atcosim_train35.wav,foxtrot sierra india report rate of climb,foxtrot sierra india report rate of climb
atcosim_train36.wav,roger keep this rate until reaching,roger keep this rate until reaching
atcosim_train37.wav,swiss air 6520 rhein radar do you read,swiss air 6520 rhein radar do you read
atcosim_train38.wav,foxtrot sierra india contact zurich 133.4,foxtrot sierra india contact zurich 133.4
atcosim_train39.wav,olympic 144 rhein identified,olympic 144 rhein identified
atcosim_train40.wav,malaysian 2 contact rhein 12737,malaysian 2 contact rhein 12737
atcosim_train41.wav,georgia air rhein radar identified,georgia air rhein radar identified
atcosim_train42.wav,sobelair 2557 rhein identified,sobelair 2557 rhein identified
atcosim_train43.wav,klm 300 kilo rhein identified,klm 300 kilo rhein identified
atcosim_train44.wav, station calling say again,station calling say again
atcosim_train45.wav,transwede 107 rhein identified,transwede 107 rhein identified
atcosim_train46.wav,india sierra alfa contact rhein 12737,india sierra alfa contact rhein 12737
atcosim_train47.wav,alitalia 117 rhein identified olympic 144 request your heading,alitalia 117 rhein identified olympic 144 request your heading
atcosim_train48.wav,olympic 144 turn left heading 115 for separation,olympic 144 turn left heading 115 for separation
atcosim_train49.wav,jetset 817 rhein identified,jetset 817 rhein identified
atcosim_train50.wav,constellation 2251 contact rhein 132.4,constellation 2251 contact rhein 132.4
atcosim_train51.wav,air malta 004 rhein radar identified,air malta 004 rhein radar identified
atcosim_train52.wav,olympic 144 set course direct to tango,olympic 144 set course direct to tango
atcosim_train53.wav,sobelair 2557 request heading,sobelair 2557 request heading
atcosim_train54.wav,sobelair 2557 turn left heading 110 separation,sobelair 2557 turn left heading 110 separation
atcosim_train55.wav,georgia 037 contact rhein 12737,georgia 037 contact rhein 12737
atcosim_train56.wav,viva 585 rhein radar identified,viva 585 rhein radar identified
atcosim_train57.wav,air malta 004 for separation descend flight level 310,air malta 004 for separation descend flight level 310
atcosim_train58.wav,jetset 817 contact rhein 127.37,jetset 817 contact rhein 127.37
atcosim_train59.wav,klm 264 rhein identified,klm 264 rhein identified
atcosim_train60.wav,sobelair 2557 maintain heading contact rhein 132.4,sobelair 2557 maintain heading contact rhein 132.4
atcosim_train61.wav,olympic 144 contact rhein 132.4,olympic 144 contact rhein 132.4
atcosim_train62.wav,sabena 7816 rhein radar identified,sabena 7816 rhein radar identified
atcosim_train63.wav,jetset 1429 rhein identified,jetset 1429 rhein identified
atcosim_train64.wav,aero lloyd 590 rhein radar identified climb flight level 290,aero lloyd 590 rhein radar identified climb flight level 290
atcosim_train65.wav,aero lloyd 590 direct trasadingen,aero lloyd 590 direct trasadingen
atcosim_train66.wav,sabena 832 rhein confirm your level,sabena 832 rhein confirm your level
atcosim_train67.wav,roger identified,roger identified
atcosim_train68.wav,alitalia 119 rhein identified,alitalia 119 rhein identified
atcosim_train69.wav,klm 300 kilo contact rhein 12737,klm 300 kilo contact rhein 12737
atcosim_train70.wav,transwede 107 contact zurich 134.6,transwede 107 contact zurich 134.6
atcosim_train71.wav,alitalia 117 zurich 133.4,alitalia 117 zurich 133.4
atcosim_train72.wav,alitalia 485 rhein identified,alitalia 485 rhein identified
atcosim_train73.wav,viva 585 request heading,viva 585 request heading
atcosim_train74.wav,roger right turn heading 030,roger right turn heading 030
atcosim_train75.wav,lufthansa 4652 rhein radar identified climb flight level 290 set course trasadingen,lufthansa 4652 rhein radar identified climb flight level 290 set course trasadingen
