,whisper_text,llm_output_text,correct_text,whisper_wer,llm_output_wer
0, oscargelo foxtrot alfa oscar taxi tolling point rambai 27 via alfa charlie, swiss air 485 foxtrot alfa oscar taxi to trasadingen rhein 27 via alfa charlie,oscar kilo foxtrot alfa oscar taxi to holding point runway 27 via alfa charlie,0.4166666666666667,0.42857142857142855
1,ok koli tip 401 reizgnie tauro informationali lima q and h 1014 time check 37 quiitul ies bau 24 alfa departs iesi iesi klām 5000 sietu iesi klok 1000, ok korean air 401 rhein radar identified trasadingen turn left 1014 time check 37 kilo tschuss bye bye,ok quality 4091 ruzyne tower information lima qnh 1014 time check 37 cleared to liege baltu 4 alfa departure initial climb 5000 feet and squawk 1000,0.7241379310344828,1.2777777777777777
2, kā ir kilo echo lima alfa confirm proceeding to tango bravo 402, kair kilo echo lima alfa confirm proceeding to tango bravo 402,oscar kilo echo lima alfa confirm proceeding to tango bravo 402,0.16666666666666666,0.09090909090909091
3, siesa 1 delta solu descend flight level 108 and no speed restrictions, saudia 1 delta solu descend flight level 108 and no speed restrictions,csa 1 delta zulu descend flight level 100 no speed restrictions,0.3333333333333333,0.3333333333333333
4, Es stendi vairu 180 3 speed s iesē 1 lta l, st prex 1803 speed setie 1 lt al,descending flight level 100 free speed csa 1 delta zulu,0.8181818181818182,1.0
5, Ofkarcija ots ribu hotel pilskontrā par varu holdingu, oscar charlie oscar hotel pilsen radar contact,oscar kilo triple hotel please confirm 1 more holding,1.0,1.0
6, karka ieta ieta ieta affirm 1 holding and then it should be possible to follow ala ieta rana 06, klm 4888 affirm ieta ieta ieta airmina 1006,oscar kilo hotel hotel hotel affirm 1 holding and then it should be possible to follow ils runway 06,0.42105263157894735,2.25
7,good thank you, good thank you,roger thank you,0.3333333333333333,0.3333333333333333
8,roger and log in you are inks 1 kilo, roger and lufthansa 1 kilo,ruzyne tower hello again euro wings 1 tango kilo,0.8888888888888888,1.4
9, europīgi flankenko kilo russieta varu gudaftunu go ahead, euroair 100 kilo rhein radar contact good bye,euro wings 1 tango kilo ruzyne tower good afternoon go ahead,1.0,1.25
10,just a question do you think there is a chance for us to get runway 24 for departure, just a question do you think there is a chance for us to get rhein 24 for departure,just a question do you think there any chance to get runway 24 for departure,0.2222222222222222,0.2777777777777778
11, nufočena pli visi dillai because there are 5 aircraft on runway 06 landing, nufo charter pli visi dial because there are 5 aircraft on runway 06 landing,unfortunately with delay because there are 5 aircraft on runway 06 landing,0.3076923076923077,0.35714285714285715
12,ok copied thank you, ok copied thank you,ok copy thank you,0.25,0.25
13, Warsaw radar belaviā 870 gedevnien 53350 inbaudz bīt gub, warsaw radar bellevue 870 good bye 53350 in bavaria bid guten tag,warsaw radar bel avia 870 good evening flight level 350 inbound bigu,1.1111111111111112,0.75
14,air inter nannotsubria walk her back turn right heading 090, air india nannett subura walk her back turn right heading 090,ryan air 92 bravo quebec turn right heading 090,0.6,0.6363636363636364
15, 920 degrees vrenenai 920 ka bēr, sabena 920 degrees turn right 920 kaiserwerth,90 degrees ryan air 92 bravo quebec,1.0,1.0
16, Skyro 2827 and there is cross air space below flight level 100 so if you wish to avoid cross air space next descent in a 20 miles, sky roger 2827 and trasadingen cross air space below flight level 100 so if you wish to avoid cross air space next descent in 20 miles,sky travel 2827 and there is closed echo airspace below flight level 100 so if you wish to avoid class echo airspace next descend in 20 miles,0.37037037037037035,0.38461538461538464
17, skarko čalās pa paskuls 7000 grubāju, swiss air 4502 paskud 7000 rhein radar,oscar kilo charlie alfa papa squawk 7000 good bye,1.3333333333333333,1.1428571428571428
18, Koksais argi bārši oski ir ašajā pat, klm 6002 rhein radar identified,squawk 7000 good bye oscar kilo charlie alfa papa,1.2857142857142858,1.8
19, tur par ko iekko lima alfa kliem 2570, tarom 480 kilo india lima alfa kilo 2570,oscar kilo echo lima alfa climb to flight level 70,1.125,1.0
20, Aoskort kino bravo alfa lima reikvests sotkatu laišampīgi posibu, aero lloyd 5820 climb flight level 330,oscar kilo bravo alfa lima request shortcut to vlasim if possible,0.8888888888888888,1.5714285714285714
21, Skari uniforme romeo turn left heading 270 cleared foil as approach runway 24, swiss air 100 romeo turn left heading 270 cleared foil as approach runway 24,oscar uniform romeo turn left heading 270 cleared for ils approach runway 24,0.3076923076923077,0.35714285714285715
22,tun left 274 please for i left runway 24 iskri  so mami, tun left 274 please for i left runway 24 iskri so mami,turn left to 70 cleared for ils runway 24 oscar uniform romeo,0.75,0.75
23,thank you, thank you,say again the departure we for us,3.5,3.5
24, Es bālu 2 alfa to klamp 5 000 tīt, sabena 2 alfa to klamp 500 tschuss,it is baltu 4 alfa to climb 5000 feet,0.8888888888888888,1.0
25,guten turn i think o papa contact braharidhar 120.275 bye bye, good turn i think oscar papa contact rhein 120.275 bye bye,lufthansa 9 tango papa contact praha radar 120.275 bye bye,0.6363636363636364,0.6363636363636364
26, Standa lintas apropa 2027 bye bye, standa lintz apron 2027 bye bye,lufthansa 9 tango papa 20275 bye,0.8333333333333334,0.8333333333333334
27, mermaira 690 juliet kontrakt ir uz ieniet avai 134.560 eski viņa čera avai, merair 690 juliet contact rhein radar 134.560 zurich airport avai,time air 690 juliett contact ruzyne tower 134.560 hezky vecer ahoj,0.9230769230769231,0.8
28, 134560 iet ar otta iemaira 690 juliet,  swiss air 134560 jetsetta otta iraq 690 juliet,134560 time air 690 juliett bye diky,0.8571428571428571,1.0
29, oscar kilo bravo alfa lima  after book up descend to 3000 feet cleared rmb approach rangvair 27 report established, oscar kilo bravo alfa lima after book up descend to 3000 feet cleared rhein radar 27 report established,oscar kilo bravo alfa lima after bukap descend to 3000 feet cleared rnp approach runway 27 report established,0.21052631578947367,0.2777777777777778
30, sierra papa foxtrot lima foxtrot contact vina radar 125.175 good bye, sierra papa foxtrot lima foxtrot contact vienna radar 125.175 good bye,sierra papa foxtrot lima foxtrot contact wien radar 125.175 good bye,0.09090909090909091,0.09090909090909091
31, oscar ielotango oscar papa proceed direct to la nux, oscar india echo oscar papa proceed direct to lannox,oscar kilo tango oscar papa proceed direct lanux,0.5555555555555556,0.4444444444444444
32, Ā direk planu oscar tieto oscar papa, adirondack 5000 oscar tango oscar papa,direct lanux oscar kilo tango oscar papa,0.7142857142857143,0.5
33, Tā radar of kirkulini frampti riča nii du briedenu pasink 3900 klm ikslau 70 inbound vlasim reidie par ifa, tarom 496 rhein radar contact good bye,praha radar oscar kilo uniform tango charlie dobry den passing 3900 climbing flight level 70 inbound vlasim ready for ifr,0.7894736842105263,2.857142857142857
34, oscarglu un informatingo charlie du brieden preha radar identified, swiss air 1016 rhein radar identified,oscar kilo uniform tango charlie dobry den praha radar identified,0.7777777777777778,1.3333333333333333
35,klm flight level 70 and cleared to her destination bernish via flight planned route, klm flight level 70 and cleared to zurich destination bern via flight planned route,climb flight level 70 and cleared to destination benesov via flight plan route,0.2857142857142857,0.2857142857142857
36, iaffair flight starts now time 1314, hapag lloyd 5555 zurich 1314,ifr flight starts now time 1314,0.16666666666666666,1.0
37,german 350, german 350,klm 1350,1.0,1.0
38,good day guys, good day guten tag,sorry go ahead,1.0,1.0
39,air contact radar 120275 fahoj, air contact radar 120275 tschuss,yeah contact radar 120275 ahoj,0.4,0.4
40,luvun 0275 hau ikhän on 1350, lufthansa 0275 hauten on 1350,120275 ahoj klm 1350,0.8333333333333334,0.8
41,lufthansa nerudenku papa kontext brager radar 120.275 buj bye, lufthansa nerdunku papa konus brager radar 120.275 bye,lufthansa 9 tango papa contact praha radar 120.275 good bye,0.5555555555555556,0.625
42,120275 bye bye and i think bye bye, 120275 bye bye and i think bye bye,120275 bye bye 9 tango papa,0.625,0.625
43, Koskārki oki oki oki viski descentu 5000 feet kiloen h1016, kosair koki oki oki oki descend to 5000 feet kilo india 1016,oscar kilo kilo kilo whiskey descend to 5000 feet qnh 1016,0.9,0.5833333333333334
44, kāri kilo maga lata hotelu passem esi tši, klm kilo mila guten tag hello tschuss,oscar kilo mike delta hotel pass your message,0.875,1.0
45,is it ok for you if we maintain 4 nautical miles left of track all the way down to benesha, is it ok for you if we maintain 4 nautical miles left of track all the way down to bernese,is it ok for you if we maintain 4 nautical miles left hand track all the way down to benesov,0.1,0.1
46, Karko ķaeri alfa papa i fable increase speed par route geneviks, klm 490 alfa papa india foxtrot increase speed proceed direct zurich,oscar kilo charlie alfa papa if able increase speed approaching traffic,0.7272727272727273,0.7272727272727273
47, 07 alfa bravo turnerite heading 210 cleared iela serojta mvēr 24 iport established,  tarom 7 alfa bravo turnerite heading 210 cleared iela sero jetta merve 24 iraq established,euro wings 7 alfa bravo turn right heading 210 cleared ils approach runway 24 report established,0.6923076923076923,0.6
48,same 210 cleared for the alis 24 report established earrings 7 of a bravo, same 210 cleared for trasadingen 24 report established earrings 7 of a bravo,ding 210 cleared for the ils 24 report established euro wings 7 alfa bravo,0.42857142857142855,0.5384615384615384
49,speed bird 855 perja radar identified 55 level 160, speed bird 855 perrador radar identified 55 level 160,speed bird 855 praha radar identified climb flight level 160,0.3333333333333333,0.3333333333333333
50,160 speed bird 855, 160 speed bird 855,160 speed bird 855,0.0,0.0
51, Copernico mike charlie charlie rannu vei 27 kliptu loproger vins 320 degrees 5 knots aptulu approach kontinu striehead sklam 2300, copa 932 charlie charlie rhein radar contact zurich 1320 degrees 5 knots rhein radar contact zurich 1320 degrees 5 knots rhein radar contact zurich 1320 degrees 5 knots rhein radar contact zurich 13,oscar kilo mike charlie charlie runway 27 cleared for low approach wind 320 degrees 5 knots after low approach continue straight ahead climb to 3000 feet,0.9,0.8787878787878788
52, Ruzieta OCS seiz vairu 1.zulu labrī podveci iem establish lau klisai 24, rossini oscar sierra india 127.37 au revoir bonjour,ruzyne tower csa 1 delta zulu dobry podvecer established localizer 24,0.9166666666666666,1.375
53, labrī ensiesi 1. osabu ruzini aprabbra hrana 824 kliet 1 vent 220 degrees 1 forno, lufthansa 824 rhein radar identified proceed direct zurich 132.2 degrees,dobry den csa 1 delta zulu ruzyne tower runway 24 cleared to land wind 220 degrees 14 knots,1.0666666666666667,1.7
54, arpietu ir arvēju 24 siss airi 1.0, air prague 124 sissairi 101,are cleared to land runway 24 csa 1 delta zulu,1.2857142857142858,2.0
55, oscar kilo uniform tango charlie riz   release from frequency fly in information service ava  bair 121 par hain formation to biedien, oscar kilo uniform tango charlie rhein release from frequency fly in information service avia bair 121 par hain formation to bieden,oscar kilo uniform tango charlie re release from frequency flying information service available at 126.1 praha information dobry den,0.5238095238095238,0.5238095238095238
56, oscar kilo kilo iku alfa braha radar identified contact level 108 i sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasvairi sasv, o,oscar kilo kilo echo alfa praha radar identified climb flight level 100 ifr flight starts now time 05 cleared to destination via flight plan route,0.9387755102040817,25.0
57,shirco charvi tango papa line up runway 2 for anway, shair charvi tango papa lufthansa 242 proceed to rhein radar,oscar kilo charlie tango papa line up runway 24 and wait,0.6,0.9
