,whisper_text,llm_output_text,correct_text,whisper_wer,llm_output_wer
0," Oskarkelo, focus throttle, false car, taxi doling point runway 27 via Alpha Charlie.", oscar kilo foxtrot sierra charlie tango mike india rhein radar 132.4,oscar kilo foxtrot alfa oscar taxi to holding point runway 27 via alfa charlie,0.6923076923076923,1.0
1," Ok, koli ty 4091, rzhnět tower informatíčná, ma QNH 1014, time check 37, kvítově ješ, baltou 4, alfa depart, initial climb 5000 feet and score 1000.", ok korean air 4091 rhein radar identified turn left heading 1014 time check 37 climb flight level 300,ok quality 4091 ruzyne tower information lima qnh 1014 time check 37 cleared to liege baltu 4 alfa departure initial climb 5000 feet and squawk 1000,0.6923076923076923,1.1666666666666667
2," Karkila EkoLema Alpha, conform procedím to tango brám por 02.", klm 6000 alfa conform procedure to tango bravo rhein 02,oscar kilo echo lima alfa confirm proceeding to tango bravo 402,1.0,0.8
3," CSA1 Delta to Lodi, central at level 108, no speed restrictions.", crossair 1 delta to lodi central at level 108 no speed restrictions,csa 1 delta zulu descend flight level 100 no speed restrictions,0.7272727272727273,0.5
4," I'm setting follow one on eight. Three speeds, you say one, I'll go zero.", i m setting follow one on eight three speeds you say one i ll go zero,descending flight level 100 free speed csa 1 delta zulu,1.0,1.0
5," Alps, Cargo 3, we're on top, please confirm one, we're holding.", alps cargo 3 we re on top please confirm 1327 tschuss,oscar kilo triple hotel please confirm 1 more holding,0.8181818181818182,0.9090909090909091
6, أفكار كلاغتال تغتال أفرم 1 حلوان و should be possible to follow LSR060, aero lloyd 5050 trasadingen zurich 13452 good bye,oscar kilo hotel hotel hotel affirm 1 holding and then it should be possible to follow ils runway 06,1.0,2.375
7, Thank you, thank you,roger thank you,1.0,0.5
8," Rosine Tower, Logan, your wings 1.0 kilo", rossini tower rhein radar 134.5 tschuss,ruzyne tower hello again euro wings 1 tango kilo,1.0,1.3333333333333333
9," Jullie zijn langs 10 kilo, goedavond.", jet air 452 climb to flight level 330 good afternoon,euro wings 1 tango kilo ruzyne tower good afternoon go ahead,1.8333333333333333,1.0
10," Just a question, do you think there is a chance for us to get runway 24 for departure?", just a question do you think there is a chance for us to get rhein 24 for departure,just a question do you think there any chance to get runway 24 for departure,0.3888888888888889,0.2777777777777778
11," Unfortunately, we delay because there are 5 aircraft on runway 06 landing.", unfortunately we delay because there are 5 aircraft on runway 06 landing,unfortunately with delay because there are 5 aircraft on runway 06 landing,0.25,0.08333333333333333
12," Okay, copy, thank you.", ok bye,ok copy thank you,0.75,1.5
13," Varsāvēr, Bielāvē, 870, gedevņu, 50350, inbauti Big Loop.", swiss air 4870 geneva 50350 in bout du big loop,warsaw radar bel avia 870 good evening flight level 350 inbound bigu,1.5,1.2
14," Arena, Nano Subra, walk back to the right heading 0, Nano 0.", arena nano subra walk back to the right heading 0 nano 0,ryan air 92 bravo quebec turn right heading 090,0.8333333333333334,0.8333333333333334
15," 930 degrees, friend, 990 Bravo, Cabang.",  swiss air 930 degrees direct zurich 990 bravo tschuss,90 degrees ryan air 92 bravo quebec,1.1666666666666667,0.7777777777777778
16," Skai, draugtu 827, un klasiakvaru spēju bilaši būt 100. Es neko, ka esi viņu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, ka esmu, esmu, ka esmu, ka esmu, ka esmu, esmu, ka esmu, ka esmu, esmu, ka esmu, esmu, esmu, esmu, esmu, esmu, es", sk,sky travel 2827 and there is closed echo airspace below flight level 100 so if you wish to avoid class echo airspace next descend in 20 miles,1.0,27.0
17, Вскоро кочаласу попасть к улсевантаусам., swiss air 5555 proceed direct to ulm,oscar kilo charlie alfa papa squawk 7000 good bye,1.8,1.2857142857142858
18," Guck, das ist alles super, aus jeder Scheu aufpassen.", guten tag das ist alles super aus jeder schweiz aufpassen,squawk 7000 good bye oscar kilo charlie alfa papa,1.0,1.0
19, Třeba které je kolima Alpha Climb to fight w LES 70., tarom 326 climb to flight level 310,oscar kilo echo lima alfa climb to flight level 70,0.9090909090909091,0.8571428571428571
20, أسكر كيناب براو ألفة ليموهة ميكوست شوتكات تو بلا شامبين بوحسيبه, aero lloyd 5555 climb to flight level 290,oscar kilo bravo alfa lima request shortcut to vlasim if possible,1.0,1.25
21," Scurrying to former OML10, left heading 270, clear foils approach runway 24.", scurriying to former oml 10 left heading 270 clear foils approach runway 24,oscar uniform romeo turn left heading 270 cleared for ils approach runway 24,0.75,0.6153846153846154
22," Dann lasst du es dann veröffentlichen, hier vorallem ist schon eine neue 2-Fahrer, das können wir noch mal...", lufthansa 3555 climb to flight level 330,turn left to 70 cleared for ils runway 24 oscar uniform romeo,1.0,1.7142857142857142
23," Thank you, the departure. Please follow.", thank you for your response please follow,say again the departure we for us,1.0,1.0
24, It's about to 4 alpha to climb 5000 feet., it s about to 4 alfa to climb 5000 feet,it is baltu 4 alfa to climb 5000 feet,0.5555555555555556,0.3
