file,whisper_text,correct_text
atcosim_train_0.wav, Best are E1C will turn right to dry setting in.,psa eight one zero turn right to trasadingen
atcosim_train_1.wav, Luftheancer 5318 contact Zurich 134.6,lufthansa five three one eight contact zurich one three four decimal six
atcosim_train_2.wav," Besa 810, contact Zurich 133.4",psa eight one zero contact zurich one three three decimal four
atcosim_train_3.wav," Sabina 481, Ryan identified.",sabena four eight one rhein identified
atcosim_train_4.wav, Kranzweig 101 Rein identified that Kostra sitting in.,transwede one zero one rhein identified set course trasadingen
atcosim_train_5.wav,rying to close the triage onimeter 2737.,india oscar kilo contact rhein one two seven three seven
atcosim_train_6.wav," Franzavia 381, Zurich radar 134 decimal 6",trans avia three eight one zurich radar one three four decimal six
atcosim_train_7.wav," Spipper 156, Rhein identified.",speed bird one five six rhein identified
atcosim_train_8.wav, This air 9352 rein identified.,swiss air nine three five two rhein identified
atcosim_train_9.wav," That's enough, 5-8, one turn left to Dinkit's bull.",sabena four eight one turn left to dinkelsbuhl
atcosim_train_10.wav," Spitzer 9.35, 2 climb, flight level 3.50, set course to go till.",swiss air nine three five two climb flight level three five zero set course to gotil
atcosim_train_11.wav," Lufthansa 8268, Rhein identified, set cost",lufthansa eight two six eight rhein identified set course trasadingen climb flight level two seven zero
atcosim_train_12.wav," Sabina 838, Ryan Identify, direct to Gotil",sabena eight three eight rhein identified direct to gotil
atcosim_train_13.wav, Beep head 156 contact line 12737,speed bird one five six contact rhein one two seven three seven
atcosim_train_14.wav, Heavenly,foxtrot sierra india rhein identified climb flight level two six zero
atcosim_train_15.wav, fatal threat of the,transwede one zero one proceed direct to hochwald thereafter st prex
atcosim_train_16.wav, Fox,foxtrot sierra india report heading
atcosim_train_17.wav, Roger turn left heading 185,roger turn left heading one eight five
atcosim_train_18.wav, in the Tango Alpha Sierra Alpha Rhine identified.,india tango alfa sierra alfa rhein identified
atcosim_train_19.wav, Sabina 481 contact line 132.4,sabena four eight one contact rhein one three two decimal four
atcosim_train_20.wav, India Sierra Alpha turn 1.5 degrees to the left.,india sierra alfa turn one five degrees to the left
atcosim_train_21.wav," Hapagloid 653, Rhein identified, LAMFLAT Level 270.",hapag lloyd six five three rhein identified climb flight level two seven zero
atcosim_train_22.wav," Swissier 9352, Rhein 127.37",swiss air nine three five two rhein one two seven decimal three seven
